(0, 0)
(1, 0)
(-1, 0)
(2, 0)
(-2, 0)
(3, 0)
(-3, 0)
(4, 0)
(-3, 1)
(4, 1)
(-3, 2)
(4, 2)
(-2, 2)
(-4, 2)
(-3, 3)
(5, 2)
(3, 2)
(4, 3)
(-1, 2)
(-5, 2)
(-3, 4)
(6, 2)
(2, 2)
(4, 4)
(0, 2)
(-6, 2)
(-5, 1)
(-4, 4)
(-3, 5)
(7, 2)
(6, 1)
(1, 2)
(5, 4)
(4, 5)
(-6, 3)
(-5, 0)
(-5, 4)
(-3, 6)
(7, 3)
(6, 0)
(6, 4)
(4, 6)
(-6, 4)
(-6, 0)
(-2, 6)
(-4, 6)
(-3, 7)
(7, 4)
(7, 0)
(5, 6)
(3, 6)
(4, 7)
(-7, 4)
(-6, 5)
(-7, 0)
(-1, 6)
(-5, 6)
(-3, 8)
(8, 4)
(7, 5)
(8, 0)
(6, 6)
(2, 6)
(4, 8)
(-8, 4)
(-6, 6)
(-8, 0)
(0, 6)
(-5, 7)
(-2, 8)
(9, 4)
(7, 6)
(9, 0)
(6, 7)
(1, 6)
(3, 8)
(-8, 3)
(-8, 5)
(-8, 1)
(0, 5)
(-5, 8)
(-1, 8)
(9, 3)
(9, 5)
(9, 1)
(6, 8)
(1, 5)
(2, 8)
(-8, 2)
(-8, 6)
(0, 4)
(-6, 8)
(0, 8)
(9, 2)
(9, 6)
(7, 8)
(1, 4)
(1, 8)
(-8, 7)
